S.No,College Code,College Name,Category
155,1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai
600078",Self Financing Engineering Colleges
156,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751",Self Financing Engineering Colleges
157,1511,"Ranipettai Engineering College, Thenkadappanthangal, Ranipet District 632513",Self Financing Engineering Colleges
158,1512,"S K P Engineering College, Thiruvannamalai District 606611",Self Financing Engineering Colleges
159,1513,"Sri Balaji Chockalingam Engineering College, Arni, Thiruvannamalai District 632317",Self Financing Engineering Colleges
160,1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District 631551",Self Financing Engineering Colleges
161,1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District
505",Self Financing Engineering Colleges
162,1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854",Self Financing Engineering Colleges
163,1520,"Kingston Engineering College, Chithoor Main Road, Christianpet Village, Katpadi Taluk,
Vellore District 632059",Self Financing Engineering Colleges
164,1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam,
Walajah Taluk, Ranipet District 632506",Self Financing Engineering Colleges
165,1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur Taluk, Thiruvannamalai District
606902",Self Financing Engineering Colleges
166,1525,"Podhigai College of Engineering and Technology, Vinayakapuram, Adiyur Post, Tirupattur
District 635601",Self Financing Engineering Colleges
167,1526,"Sri Krishna College of Engineering, Tiruttani High Road, Arakkonam, Ranipet District 631003",Self Financing Engineering Colleges
168,1529,"Oxford College of Engineering, Venmani Village, Karaipoondi Post, Polur Taluk,
Thiruvannamalai District 606803",Self Financing Engineering Colleges
169,1530,"Papni School of Architecture, 302/1, Keeranallur Village, Sriperumbudhur Taluk,
Kancheepuram District, Chennai 602108",Self Financing Engineering Colleges
170,1605,"Idhaya Engineering College for Women, Chinnasalem, Kallakkurichi District 606201",Self Financing Engineering Colleges
171,2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village, Salem District
637304",Self Financing Engineering Colleges
172,2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur
District 639003",Self Financing Engineering Colleges
173,2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",Self Financing Engineering Colleges
174,2332,"Aishwarya College of Engineering and Technology, Errattaikaradu Paruvachi Post, Anthiyur
(Via), Bhavani Taluk, Erode District 638312",Self Financing Engineering Colleges
175,2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near
Saravanampatti, Coimbatore District 641110",Self Financing Engineering Colleges
176,2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem District 636111",Self Financing Engineering Colleges
177,2342,"Sri Ranganathar Institute of Engineering and Technology (Autonomous) , Thudialur-
Kovilpalay Road, Coimbatore District 641110",Self Financing Engineering Colleges
178,2344,"Kongu School of Architecture, Kongu Engineering College Campus,Perundurai Railway
Station Road, Thoppupalayam (Post), Perundurai,Erode District 638052",Self Financing Engineering Colleges
179,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk,
Salem District 636309",Self Financing Engineering Colleges
180,2346,"Shree Sathyam College of Engineering and Technology, NH-47, Manjakkalpatti, Kuppanur
Post, Sankari Taluk, Salem District 637301",Self Financing Engineering Colleges
181,2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science,
Chinnagoundapuram, Salem District 636106",Self Financing Engineering Colleges
182,2348,"San Academy of Architecture, ACC Pirivu,Navakarai Post,Walayar, Coimbatore District
641105",Self Financing Engineering Colleges
183,2349,"Dhaanish Ahmed Institute of Technology, Pichanur Post, (Near K G Chavadi), Coimbatore
District 641105",Self Financing Engineering Colleges
184,2350,"Jairupaa College of Engineering, Thottiapalayam, Kathankanni Post, Kangayam, Tiruppur
District 641 604",Self Financing Engineering Colleges
185,2354,"Pollachi Institute of Engineering and Technology, Main Road, Poosaripatti, Pollachi Taluk,
Coimbatore District 642205",Self Financing Engineering Colleges
186,2356,"Arulmurugan College of Engineering, Karvazhi Road, Thennilai Post, Karur District 639206",Self Financing Engineering Colleges
187,2357,"V S B College of Engineering Technical Campus (Autonomous), Ealur Pirivu,
Solavampalayam Post, Coimbatore District 642109",Self Financing Engineering Colleges
188,2360,"Suguna College of Engineering, Kalappatti Road, Civil Aerodrome Post, Coimbatore District
641014",Self Financing Engineering Colleges
189,2364,"School of Architecture Coimbatore Institute of Engineering and Technology, Vellimalai
Pattinam, Narasipuram Post, Thondamuture Via, Coimbatore-641109",Self Financing Engineering Colleges
190,2365,"Nehru School of Architecture, No.451-D,Palakkad Main Road,Kuniamuthur,Coimbatore
District 641008",Self Financing Engineering Colleges
191,2367,"Arjun College of Technology, Chettiyakkapalayam, Kinathukadavu, Coimbatore District
642120",Self Financing Engineering Colleges
192,2368,"Vishnu Lakshmi College of Engineering and Technology, Vellalore Post, Coimbatore District
641111",Self Financing Engineering Colleges
193,2372,"Park Institute of Architecture AVINASHI ROAD,NH47,KANIYUR, COIMBATORE,641659",Self Financing Engineering Colleges
194,2373,"Hindusthan School of Architecture, Othakkalmandabam Post, Coimbatore District 641032",Self Financing Engineering Colleges
195,2376,"Rathinam School of Architecture and Design at Tips Global, Rathinam Techzone campus,
Pollachi Road, Eachanari, Coimbatore - 641021",Self Financing Engineering Colleges
196,2377,"PSG Institute of Technology and Applied Research(Autonomous), Avinashi Road,
Neelambur, Coimbatore 641062",Self Financing Engineering Colleges
197,2378,Cheran college of Technology. Kangeyam.,Self Financing Engineering Colleges
198,2379,"PSG Institute Of Architecture And Planning, PSGITECH CAMPUS, AVINASHI ROA,
NEELAMBUR 641062",Self Financing Engineering Colleges
199,2601,"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",Self Financing Engineering Colleges
200,2602,"Annai Mathammal Sheela Engineering College, Erumapatty Post, Namakkal District 637013",Self Financing Engineering Colleges
201,2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District
637215",Self Financing Engineering Colleges
202,2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District
639113",Self Financing Engineering Colleges
203,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal
District 637503",Self Financing Engineering Colleges
204,2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",Self Financing Engineering Colleges
205,2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018",Self Financing Engineering Colleges
206,2612,"P G P College of Engineering and Technology, Paramathi Post, Namakkal District 637207",Self Financing Engineering Colleges
207,2613,"K S R College of Engineering (Autonomous), Tiruchengode, Namakkal District 637215",Self Financing Engineering Colleges
208,2614,"S S M College of Engineering, Komarapalayam, Namakkal District 638183",Self Financing Engineering Colleges
209,2616,"Sapthagiri College of Engineering, Periyanahalli Post, Dharmapuri District 635205",Self Financing Engineering Colleges
210,2617,"Sengunthar Engineering College (Autonomous), Tiruchengode, Namakkal District 637205",Self Financing Engineering Colleges
211,2618,"Sona College of Technology (Autonomous), Suramangalam Post, Salem District 636005",Self Financing Engineering Colleges
212,2620,"Vivekanandha College of Engineering for Women (Autonomous), Sathinaickenpalayam,
Elayampalayam Village, Kumaramangalam, Namakkal District 637205",Self Financing Engineering Colleges
213,2621,"Er. Perumal Manimekalai College of Engineering, Near Koneripalli, Hosur, Krishnagiri District
635117",Self Financing Engineering Colleges
214,2622,"V S B Engineering College (Autonomous), Kovai Road, Karur District 639111",Self Financing Engineering Colleges
215,2623,"Mahendra College of Engineering, Attur Road, Minnampalli, Valapady, Salem District
636106",Self Financing Engineering Colleges
216,2624,"Gnanamani College of Technology (Autonomous), Pachal Post, Namakkal District 637018",Self Financing Engineering Colleges
217,2625,"The Kavery Engineering College, M Kalipatti Post, Mecheri, Salem District 634456",Self Financing Engineering Colleges
218,2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",Self Financing Engineering Colleges
219,2628,"Paavai College of Engineering, NH-7, Pachal Post, Namakkal District 637018",Self Financing Engineering Colleges
220,2630,"Chettinad College of Engineering and Technology, NH-67, Trichy Main Road, Puliyur C F,
Karur District 639114",Self Financing Engineering Colleges
